Population by Single Year Age Groups - Custom Region - Benin
Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
1970,,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
1971,,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
1972,,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
1973,,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
1974,,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
1975,,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
1976,,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
1977,,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
1978,,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
1979,Total,3402968,1620286,1782682,100.0,100.0,100.0,90.9
1979,0,161445,81028,80417,4.7,5.0,4.5,100.8
1979,1,157866,79244,78622,4.6,4.9,4.4,100.8
1979,2,154745,77697,77048,4.5,4.8,4.3,100.8
1979,3,151634,76152,75482,4.5,4.7,4.2,100.9
1979,4,148076,74370,73706,4.4,4.6,4.1,100.9
1979,5,143587,72099,71488,4.2,4.4,4.0,100.9
1979,6,137714,69103,68611,4.0,4.3,3.8,100.7
1979,7,130106,65197,64909,3.8,4.0,3.6,100.4
1979,8,120581,60286,60295,3.5,3.7,3.4,100.0
1979,9,109468,54538,54930,3.2,3.4,3.1,99.3
1979,10,97631,48401,49230,2.9,3.0,2.8,98.3
1979,11,86413,42568,43845,2.5,2.6,2.5,97.1
1979,12,77359,37839,39520,2.3,2.3,2.2,95.7
1979,13,71439,34716,36723,2.1,2.1,2.1,94.5
1979,14,67928,32821,35107,2.0,2.0,2.0,93.5
1979,15,65190,31332,33858,1.9,1.9,1.9,92.5
1979,16,62237,29713,32524,1.8,1.8,1.8,91.4
1979,17,59522,28147,31375,1.7,1.7,1.8,89.7
1979,18,56793,26482,30311,1.7,1.6,1.7,87.4
1979,19,54109,24782,29327,1.6,1.5,1.6,84.5
1979,20,51813,23255,28558,1.5,1.4,1.6,81.4
1979,21,49926,21979,27947,1.5,1.4,1.6,78.6
