"Fertility Rates for Custom Region - Benin"
Country,Year,"ASFR 15-19","ASFR 20-24","ASFR 25-29","ASFR 30-34","ASFR 35-39","ASFR 40-44","ASFR 45-49","Total fertility rate per woman","Gross Reproduction Rate Per Woman","Sex Ratio at Birth (Males per Female)"
Benin,1995,123.50,270.20,290.70,266.00,192.00,120.00,31.00,6.47,3.15,1.05
Benin,1996,122.00,266.50,287.00,263.00,186.00,120.00,31.00,6.38,3.11,1.05
Benin,1997,122.40,267.30,287.30,260.00,183.70,115.00,31.40,6.34,3.09,1.05
Benin,1998,122.80,268.10,287.60,257.00,181.40,110.00,31.80,6.29,3.07,1.05
Benin,1999,123.20,268.90,287.90,254.00,179.10,105.00,32.20,6.25,3.05,1.05
Benin,2000,123.60,269.70,288.20,251.00,176.80,100.00,32.60,6.21,3.03,1.05
Benin,2001,124.00,270.50,288.50,248.00,174.50,95.00,33.00,6.17,3.01,1.05
Benin,2002,122.60,260.70,279.70,239.60,168.60,90.90,28.30,5.95,2.90,1.05
Benin,2003,121.10,250.80,270.80,231.10,162.60,86.80,23.70,5.73,2.80,1.05
Benin,2004,119.70,241.00,262.00,222.70,156.70,82.70,19.00,5.52,2.69,1.05
Benin,2005,118.70,242.30,263.90,223.60,156.50,82.00,19.40,5.53,2.70,1.05
Benin,2006,117.70,243.50,265.80,224.60,156.40,81.40,19.80,5.55,2.71,1.05
Benin,2007,116.80,244.80,267.80,225.50,156.30,80.80,20.20,5.56,2.71,1.05
Benin,2008,115.80,246.00,269.70,226.40,156.10,80.10,20.70,5.57,2.72,1.05
Benin,2009,114.80,247.20,271.60,227.40,156.00,79.50,21.10,5.59,2.73,1.05
Benin,2010,113.80,248.50,273.50,228.30,155.80,78.80,21.50,5.60,2.73,1.05
Benin,2011,112.90,249.80,275.40,229.30,155.70,78.20,21.90,5.62,2.74,1.05
Benin,2012,111.90,251.00,277.30,230.20,155.60,77.60,22.30,5.63,2.75,1.05
Benin,2013,110.90,252.30,279.20,231.20,155.40,76.90,22.80,5.64,2.75,1.05
Benin,2014,109.90,253.50,281.20,232.10,155.30,76.30,23.20,5.66,2.76,1.05
Benin,2015,109.00,254.80,283.10,233.10,155.10,75.60,23.60,5.67,2.77,1.05
Benin,2016,108.00,256.00,285.00,234.00,155.00,75.00,24.00,5.69,2.77,1.05
Benin,2017,107.00,254.10,283.40,232.70,153.90,74.40,23.80,5.65,2.75,1.05
Benin,2018,106.10,252.20,281.80,231.30,152.70,73.80,23.60,5.61,2.74,1.05
Benin,2019,105.10,250.40,280.10,230.00,151.60,73.20,23.40,5.57,2.72,1.05
