"Mortality Indicators by Sex for Custom Region - Benin"
Country,Year,"Infant Mortality Rate Both Sexes","Infant Mortality Rate Male","Infant Mortality Rate Female","Age 1-4 Mortality Rate Both Sexes","Age 1-4 Mortality Rate Male","Age 1-4 Mortality Rate Female","Under Age 5 Mortality Rate Both Sexes","Under age 5 Mortality Rate Male","Under age 5 Mortality Rate Female","Life expectancy both sexes","Life expectancy male","Life expectancy female"
Benin,1975,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Benin,1976,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Benin,1977,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Benin,1978,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Benin,1979,113.5,121.6,105.0,96.0,99.1,92.8,198.6,208.6,188.0,48.2,46.6,49.8
Benin,1980,112.3,120.3,103.9,93.9,96.8,90.9,195.6,205.4,185.4,48.4,46.9,50.0
Benin,1981,111.1,119.0,102.8,91.8,94.5,89.1,192.7,202.2,182.8,48.7,47.2,50.3
Benin,1982,109.9,117.8,101.7,89.8,92.2,87.4,189.9,199.1,180.2,49.0,47.5,50.6
Benin,1983,108.8,116.5,100.7,87.9,90.0,85.7,187.1,196.0,177.7,49.3,47.8,50.8
Benin,1984,107.6,115.3,99.7,85.9,87.8,84.0,184.3,193.0,175.2,49.5,48.0,51.1
Benin,1985,106.5,114.0,98.6,84.0,85.7,82.3,181.6,190.0,172.8,49.8,48.3,51.3
Benin,1986,105.4,112.8,97.6,82.2,83.7,80.7,178.9,187.1,170.4,50.0,48.6,51.6
Benin,1987,104.3,111.6,96.6,80.4,81.7,79.1,176.3,184.2,168.0,50.3,48.8,51.8
Benin,1988,103.2,110.4,95.6,78.6,79.7,77.5,173.7,181.3,165.7,50.6,49.1,52.1
Benin,1989,102.1,109.2,94.6,76.9,77.8,75.9,171.1,178.5,163.4,50.8,49.3,52.3
Benin,1990,101.0,108.1,93.6,75.2,75.9,74.4,168.6,175.8,161.1,51.1,49.6,52.6
Benin,1991,100.0,106.9,92.7,73.5,74.1,73.0,166.2,173.1,158.9,51.3,49.9,52.8
Benin,1992,98.9,105.8,91.7,71.9,72.3,71.5,163.7,170.4,156.7,51.6,50.1,53.1
Benin,1993,97.9,104.6,90.8,70.3,70.6,70.1,161.3,167.8,154.5,51.8,50.4,53.3
Benin,1994,96.8,103.5,89.8,68.8,68.9,68.7,158.9,165.2,152.3,52.0,50.6,53.6
