"Mortality Indicators by Sex for Region Summary"
Region,Country,Year,"Infant Mortality Rate Both Sexes","Infant Mortality Rate Male","Infant Mortality Rate Female","Age 1-4 Mortality Rate Both Sexes","Age 1-4 Mortality Rate Male","Age 1-4 Mortality Rate Female","Under Age 5 Mortality Rate Both Sexes","Under age 5 Mortality Rate Male","Under age 5 Mortality Rate Female","Life expectancy both sexes","Life expectancy male","Life expectancy female"
"Custom Region",Benin,1995,95.8,102.4,88.9,67.2,67.2,67.3,156.6,162.7,150.2,52.3,50.8,53.8
"Custom Region",Benin,1996,94.3,100.9,87.4,65.7,65.7,65.8,153.8,159.9,147.5,52.6,51.1,54.1
"Custom Region",Benin,1997,92.8,99.4,86.0,64.3,64.2,64.4,151.1,157.2,144.8,52.8,51.4,54.4
"Custom Region",Benin,1998,91.4,97.9,84.5,62.8,62.7,62.9,148.5,154.5,142.1,53.1,51.6,54.6
"Custom Region",Benin,1999,89.9,96.4,83.1,61.4,61.3,61.6,145.8,151.8,139.5,53.3,51.9,54.9
"Custom Region",Benin,2000,88.5,95.0,81.7,60.0,59.9,60.2,143.2,149.2,137.0,53.6,52.1,55.2
"Custom Region",Benin,2001,86.3,92.7,79.6,57.9,57.8,58.0,139.1,145.1,132.9,54.1,52.6,55.6
"Custom Region",Benin,2002,84.1,90.4,77.5,55.8,55.7,55.8,135.2,141.1,128.9,54.5,53.0,56.1
"Custom Region",Benin,2003,82.0,88.2,75.4,53.7,53.7,53.7,131.3,137.2,125.1,55.0,53.5,56.5
"Custom Region",Benin,2004,79.9,86.0,73.4,51.8,51.8,51.7,127.5,133.4,121.4,55.4,53.9,57.0
"Custom Region",Benin,2005,77.9,83.9,71.5,49.9,50.0,49.8,123.9,129.7,117.7,55.8,54.4,57.4
"Custom Region",Benin,2006,76.7,82.7,70.3,48.8,48.9,48.7,121.7,127.6,115.6,56.3,54.8,57.8
"Custom Region",Benin,2007,75.5,81.5,69.2,47.7,47.9,47.6,119.7,125.5,113.5,56.7,55.2,58.3
"Custom Region",Benin,2008,74.4,80.4,68.1,46.7,46.8,46.6,117.6,123.4,111.5,57.1,55.6,58.7
"Custom Region",Benin,2009,73.3,79.2,67.0,45.7,45.8,45.5,115.6,121.4,109.5,57.5,55.9,59.2
"Custom Region",Benin,2010,72.2,78.1,65.9,44.7,44.8,44.5,113.6,119.4,107.5,57.9,56.3,59.6
"Custom Region",Benin,2011,71.1,77.0,64.9,43.7,43.8,43.6,111.7,117.5,105.6,58.2,56.6,59.8
"Custom Region",Benin,2012,70.0,75.9,63.9,42.8,42.9,42.6,109.8,115.5,103.8,58.4,56.8,60.1
"Custom Region",Benin,2013,69.0,74.8,62.9,41.8,42.0,41.7,107.9,113.6,102.0,58.7,57.1,60.4
"Custom Region",Benin,2014,68.0,73.7,61.9,40.9,41.1,40.8,106.1,111.8,100.2,58.9,57.3,60.6
"Custom Region",Benin,2015,66.3,72.0,60.4,39.5,39.7,39.2,103.2,108.8,97.2,59.4,57.7,61.1
"Custom Region",Benin,2016,64.7,70.3,58.9,38.0,38.3,37.7,100.3,105.9,94.4,59.8,58.1,61.5
"Custom Region",Benin,2017,63.2,68.7,57.4,36.6,37.0,36.3,97.5,103.1,91.6,60.2,58.5,62.0
"Custom Region",Benin,2018,61.7,67.0,56.0,35.3,35.7,34.9,94.8,100.3,88.9,60.6,58.9,62.4
"Custom Region",Benin,2019,60.2,65.5,54.6,34.0,34.4,33.6,92.1,97.7,86.3,61.0,59.3,62.9
