"Components of Population Growth for Custom Region - Benin"
Country,Year,"Births per 1,000 population","Deaths per 1,000 population","Net Number of Migrants per 1,000 population","Rate of natural increase (percent)","Growth rate (percent)",Population,Births,Deaths,"Net Number of Migrants","Natural Increase","Population Change"
Benin,1975,(NA),(NA),(NA),(NA),(NA),3032648,(NA),(NA),(NA),(NA),(NA)
Benin,1976,(NA),(NA),(NA),(NA),(NA),3119892,(NA),(NA),(NA),(NA),(NA)
Benin,1977,(NA),(NA),(NA),(NA),(NA),3210600,(NA),(NA),(NA),(NA),(NA)
Benin,1978,(NA),(NA),(NA),(NA),(NA),3304940,(NA),(NA),(NA),(NA),(NA)
Benin,1979,48.4,18.9,1.2,2.95,3.07,3402968,164636,64384,4220,100251,104471
Benin,1980,48.2,18.2,1.3,3.00,3.13,3510052,169114,63848,4423,105266,109689
Benin,1981,47.9,17.8,1.2,3.01,3.13,3621538,173544,64500,4237,109045,113282
Benin,1982,47.7,17.5,1.1,3.02,3.13,3736658,178089,65354,4222,112735,116957
Benin,1983,47.4,17.2,1.1,3.02,3.13,3855535,182868,66354,4280,116514,120794
Benin,1984,47.3,17.0,1.3,3.03,3.16,3978703,188034,67479,4973,120555,125528
Benin,1985,47.2,16.7,1.7,3.04,3.22,4107519,193670,68719,7147,124951,132098
Benin,1986,47.1,16.5,1.0,3.06,3.16,4240544,199814,70054,4241,129761,134001
Benin,1987,47.1,16.3,0.8,3.08,3.16,4376709,206318,71472,3545,134846,138392
Benin,1988,47.2,16.2,0.5,3.11,3.16,4517238,213304,72953,2349,140351,142700
Benin,1989,47.3,16.0,0.8,3.14,3.22,4663657,220778,74525,3917,146252,150170
Benin,1990,47.5,15.8,0.8,3.17,3.25,4816993,228807,76205,3902,152602,156504
Benin,1991,47.7,15.7,0.9,3.20,3.29,4977069,237356,77941,4231,159416,163646
Benin,1992,47.6,15.5,0.8,3.21,3.29,5143543,244936,79673,4063,165262,169325
Benin,1993,47.4,15.3,29.0,3.21,6.11,5392889,255407,82295,156232,173112,329344
Benin,1994,47.0,14.9,-15.2,3.21,1.69,5604889,263374,83569,-85138,179805,94667
